Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Mar 13 2021 18:17:23,6,2,5,5,0.99,0.951,0.937,0.937,5,1,0.0486,0.0629,0.0629,-0.0143,-0.0016,directive
Mar 13 2021 18:17:36,5,2,5,2,0.49,0.957,0.937,0.937,5,1,0.0432,0.0634,0.0634,-0.0202,-0.0022,freestanding
3月 14 2021 19:18:52,11,3,9,4,0.44,0.942,0.934,0.934,5,1,0.0579,0.0656,0.0656,-0.0077,-0.001,aggregate
3月 14 2021 19:19:00,13,3,8,8,0.95,0.947,0.934,0.934,5,1,0.0531,0.0658,0.0658,-0.0127,-0.0015,opponent
3月 14 2021 19:19:04,38,1,2,6,3.21,0.983,0.966,0.966,5,1,0.0167,0.034,0.034,-0.0174,-0.0009,outcome
3月 14 2021 19:19:22,35,1,2,40,19.78,0.984,0.997,0.996,5,1,0.0156,0.0032,0.0042,0.0113,0.0002,protocol
3月 14 2021 19:19:28,30,1,2,27,13.58,0.985,0.997,0.996,5,1,0.0146,0.0032,0.0043,0.0103,0.0002,axiom
3月 14 2021 19:19:45,18,3,8,27,3.34,0.959,0.994,0.994,5,1,0.041,0.0061,0.0063,0.0347,0.0016,interweave
3月 14 2021 19:20:03,12,3,8,25,3.1,0.961,0.994,0.994,5,1,0.0391,0.0061,0.0064,0.0327,0.0015,monolith
3月 14 2021 19:20:12,2,3,8,35,4.36,0.963,0.991,0.99,5,1,0.0374,0.0092,0.0097,0.0278,0.0013,corresponding
3月 14 2021 19:20:23,3,3,8,55,6.87,0.964,0.991,0.994,5,1,0.036,0.0092,0.0061,0.0299,0.0013,correspondence
Mar 15 2021 10:20:37,103,1,2,38,18.91,0.988,0.997,0.996,5,1,0.0117,0.0028,0.0045,0.0072,0.0001,rag
Mar 15 2021 10:20:48,84,1,2,24,11.8,0.989,0.997,0.995,5,1,0.0113,0.0029,0.0045,0.0068,0.0001,indebted
Mar 15 2021 10:20:57,76,1,2,28,14.15,0.989,0.997,0.995,5,1,0.011,0.003,0.0046,0.0064,0.0001,likeness
3月 15 2021 10:22:30,37,2,3,1,0.35,0.93,0.995,0.995,1,0,0.9296,0.9949,0.995,-0.0654,-0.1258,constituent
3月 15 2021 10:22:38,27,2,6,2,0.27,0.935,0.941,0.941,5,1,0.0654,0.0593,0.0593,0.0061,0.0008,whereas
3月 15 2021 10:22:43,43,2,6,3,0.5,0.938,0.944,0.944,5,1,0.0617,0.0563,0.0563,0.0054,0.0006,subsequent
3月 15 2021 10:22:53,24,2,2,3,1.53,0.9,0.942,0.942,2,0,0.9,0.9425,0.9425,-0.0425,-0.0783,profitable
3月 15 2021 10:23:01,39,2,7,2,0.26,0.905,0.938,0.938,5,1,0.0951,0.0623,0.0623,0.0328,0.0052,redundant
Mar 16 2021 09:48:18,91,2,7,3,0.5,0.909,0.927,0.927,5,1,0.091,0.0731,0.0731,0.018,0.0029,nettle
Mar 16 2021 09:48:27,37,1,2,2,1.12,0.959,0.902,0.902,5,1,0.0411,0.0978,0.0978,-0.0567,-0.0079,constituent
Mar 16 2021 09:48:32,108,2,6,2,0.31,0.927,0.928,0.928,5,1,0.0733,0.0723,0.0723,0.0011,0.0002,briar
Mar 16 2021 09:48:35,106,2,6,4,0.67,0.929,0.928,0.928,5,1,0.0711,0.072,0.072,-0.0009,-0.0001,flint
Mar 16 2021 09:48:39,10,5,17,14,0.83,0.854,0.869,0.869,5,1,0.146,0.1312,0.1312,0.0148,0.0041,fairly
3月 16 2021 09:49:34,32,3,9,6,0.66,0.914,0.904,0.904,5,1,0.0863,0.0963,0.0963,-0.0099,-0.0018,irrevocable
3月 16 2021 09:49:42,45,3,9,8,0.91,0.917,0.91,0.91,5,1,0.0827,0.0899,0.0899,-0.0072,-0.0012,obstacle
3月 16 2021 09:49:52,59,2,5,4,0.81,0.945,0.933,0.933,5,1,0.0545,0.0667,0.0667,-0.0122,-0.0015,reliant
3月 16 2021 09:50:01,111,2,5,4,0.82,0.947,0.939,0.939,5,1,0.0532,0.0611,0.0611,-0.0079,-0.0009,plea
3月 16 2021 09:50:04,88,2,5,4,0.8,0.948,0.941,0.941,5,1,0.052,0.059,0.059,-0.0071,-0.0008,memorable
3月 16 2021 09:50:09,92,2,5,9,1.75,0.949,0.944,0.944,5,1,0.0508,0.056,0.056,-0.0052,-0.0006,churchyard
